Date,Open,High,Low,Close,Volume
29.04.2024 18:10:00,"59,5","62,25","58,65","62,05",67954497
30.04.2024 18:10:00,"61,55",62,"60,45","60,75",50125618
02.05.2024 18:10:00,61,"62,35","60,9","62,1",50934416
03.05.2024 18:10:00,"62,2","63,2","61,5","62,2",48311287
06.05.2024 18:10:00,"62,3","63,05","61,85","62,4",38288783
07.05.2024 18:10:00,"62,45","63,05","61,05","62,3",47045760
08.05.2024 18:10:00,"62,5","62,85","61,65","62,4",40599227
09.05.2024 18:10:00,"62,4",64,"62,4","63,4",54756132
10.05.2024 18:10:00,"63,4","64,55","63,2","63,4",44107142
13.05.2024 18:10:00,"63,4","63,9","62,3","62,4",37212454
14.05.2024 18:10:00,"62,15","62,85","60,8","60,85",45554121
15.05.2024 18:10:00,61,"61,45","59,55","59,95",28428829
16.05.2024 18:10:00,"60,1","61,2","59,95","60,7",35385724
17.05.2024 18:10:00,61,"61,95","60,95","61,45",45859069
20.05.2024 18:10:00,"61,95","63,4","61,9","62,2",48112332
21.05.2024 18:10:00,"62,4","63,5","61,3","61,4",73861881
22.05.2024 18:10:00,"61,6",62,"60,95","61,5",32854072
23.05.2024 18:10:00,"61,55","62,6","60,5","60,5",48867670
24.05.2024 18:10:00,"60,5","60,9","59,15","59,25",27191679
27.05.2024 18:10:00,"59,5","60,5","59,2","60,05",32310422
28.05.2024 18:10:00,"60,15","60,25","59,45","59,6",21384092
29.05.2024 18:10:00,60,"60,5","57,4","57,55",29777252
30.05.2024 18:10:00,"58,7","60,25","58,7","60,1",53570111
31.05.2024 18:10:00,"60,3","60,9","58,35","58,65",47345786
03.06.2024 18:10:00,"58,95","60,6","58,35","60,4",34921062
04.06.2024 18:10:00,"60,4","60,75","59,2","59,2",31677411
05.06.2024 18:10:00,"59,5","59,85","58,5",59,44861364
06.06.2024 18:10:00,"59,35","61,4","59,15","60,45",45916727
07.06.2024 18:10:00,61,"61,7","60,15","60,65",33499436
10.06.2024 18:10:00,"60,65","60,75","58,1","58,3",21200128
11.06.2024 18:10:00,"58,1","58,5","56,6",57,41799829
12.06.2024 18:10:00,57,"58,45","56,85","57,6",33627842
13.06.2024 18:10:00,"58,6","60,5","58,3","60,15",38365449
14.06.2024 18:10:00,"60,5","61,15","58,8","59,35",35075769
20.06.2024 18:10:00,"60,3",61,"60,05","60,7",25040106
21.06.2024 18:10:00,"60,7","61,5","60,3","61,5",38508112
24.06.2024 18:10:00,"61,7","62,15","60,75","61,75",35918879
25.06.2024 18:10:00,"61,85","62,35","59,9","59,9",35275730
26.06.2024 18:10:00,"59,9","60,4","58,55","58,9",25244854
27.06.2024 18:10:00,"59,05","60,4","58,75","59,9",28291433
28.06.2024 18:10:00,60,"60,35","58,3","58,6",39111123
01.07.2024 18:10:00,"59,1","59,35","55,55","56,25",31245872
02.07.2024 18:10:00,"56,45","56,95","55,45","56,95",23244482
03.07.2024 18:10:00,"57,2","58,6","56,95","58,5",31200970
04.07.2024 18:10:00,"60,7","61,2","59,7","60,1",38457594
05.07.2024 18:10:00,"60,2","61,6","59,85","60,75",43403645
08.07.2024 18:10:00,"61,1",64,"60,5","63,3",64180844
